Orbit Number,Frame,Disk Misalignment,Ecc Inner,Ecc Outer,Angle Inner,Angle Outer
0.0,0,0.0052,0.0,0.0,4.625485307179586,4.620285307179586
10.0,0,0.6216,0.0195,0.0038,4.197485307179586,3.575885307179586
20.0,0,5.2358,0.0336,0.0047,2.7438853071795863,3.7912853071795865
30.0,0,5.0571,0.0453,0.0055,2.8263853071795864,4.052485307179586
40.0,0,4.4753,0.0468,0.0056,2.2510853071795864,4.0589853071795865
50.0,0,4.3888,0.0591,0.0067,2.1542853071795864,4.048685307179586
60.0,0,1.9924,0.0674,0.0084,5.945085307179586,3.9526853071795864
70.0,0,3.5747,0.0731,0.0084,1.3675,4.075985307179586
80.0,0,3.6176,0.0789,0.0085,1.2571,3.922685307179586
90.0,0,3.6793,0.083,0.0094,1.1769,3.780785307179586
100.0,0,3.7147,0.0863,0.0104,1.115,3.6834853071795863
110.0,0,3.7692,0.0883,0.0113,1.0706,3.5845853071795863
120.0,0,3.7732,0.0901,0.0124,1.0468,3.5567853071795863
130.0,0,3.7966,0.0913,0.0133,1.0301,3.516685307179586
140.0,0,3.991,0.0925,0.0141,1.0299,3.322085307179586
150.0,0,3.848,0.0931,0.0149,1.0298,3.464985307179586
160.0,0,3.9434,0.0936,0.0155,1.034,3.373785307179586
170.0,0,4.0059,0.0942,0.0162,1.0396,3.3168853071795863
180.0,0,4.0891,0.0945,0.0171,1.0471,3.2411853071795864
190.0,0,3.9552,0.0949,0.0177,1.0581,3.3860853071795862
200.0,0,3.834,0.0953,0.0183,1.0684,3.517585307179586
210.0,0,3.8392,0.0954,0.0192,1.0828,3.526785307179586
220.0,0,3.8544,0.0956,0.0197,1.0937,3.5224853071795863
230.0,0,3.9372,0.0961,0.0201,1.1068,3.452785307179586
240.0,0,3.9582,0.0963,0.0209,1.1219,3.446885307179586
250.0,0,3.9819,0.0967,0.0215,1.1338,3.435085307179586
260.0,0,4.0261,0.0971,0.0218,1.1476,3.4046853071795864
270.0,0,4.0566,0.0976,0.0222,1.1592,3.385785307179586
280.0,0,4.091,0.098,0.0228,1.1722,3.364385307179586
290.0,0,4.1066,0.0984,0.0232,1.1857,3.362285307179586
300.0,0,4.14,0.0988,0.0234,1.2007,3.3438853071795864
310.0,0,4.1682,0.0991,0.0239,1.2145,3.3294853071795862
320.0,0,4.1825,0.0994,0.0243,1.2289,3.3295853071795865
330.0,0,4.1947,0.0998,0.0246,1.2442,3.3326853071795863
340.0,0,4.2089,0.1001,0.0246,1.258,3.3322853071795864
350.0,0,4.2345,0.1004,0.0252,1.2734,3.322085307179586
360.0,0,4.2542,0.1007,0.0254,1.2875,3.3164853071795863
370.0,0,4.2655,0.101,0.0256,1.3038,3.3214853071795862
380.0,0,4.2831,0.1013,0.0257,1.3175,3.3175853071795864
390.0,0,4.2889,0.1017,0.0261,1.3329,3.3271853071795863
400.0,0,4.2878,0.1019,0.0263,1.3464,3.3417853071795864
410.0,0,4.2895,0.1021,0.0265,1.3625,3.356185307179586
420.0,0,4.3076,0.1023,0.0264,1.376,3.3515853071795862
430.0,0,4.3191,0.1025,0.0268,1.3904,3.354485307179586
440.0,0,4.3341,0.1026,0.027,1.4055,3.3545853071795864
450.0,0,4.3474,0.1027,0.0271,1.4195,3.355285307179586
460.0,0,4.3592,0.1029,0.0271,1.434,3.3579853071795864
470.0,0,4.357,0.1029,0.0271,1.4461,3.3722853071795864
480.0,0,4.1732,0.103,0.0273,1.2756,3.385585307179586
490.0,0,3.9934,0.1031,0.0273,1.1147,3.4044853071795864
500.0,0,3.8304,0.1032,0.0273,0.9631,3.415885307179586
510.0,0,3.6059,0.1033,0.0273,0.7794,3.4566853071795864
520.0,0,2.8621,0.1033,0.0272,0.049,3.4700853071795863
530.0,0,2.5766,0.1034,0.0272,6.066685307179586,3.4900853071795863
540.0,0,2.2707,0.1036,0.0273,5.773085307179587,3.502385307179586
550.0,0,2.0627,0.1038,0.0273,5.563685307179586,3.5009853071795862
560.0,0,1.8568,0.104,0.0273,5.368985307179586,3.5121853071795863
570.0,0,1.6506,0.1042,0.0273,5.1599853071795865,3.509385307179586
